gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,Orphanet_104,0.779965334381792,Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198888
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,Orphanet_550,0.756451525778822,"MELAS: MELAS (Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke) syndrome is a rare progressive multisystemic disorder characterized by encephalomyopathy, lactic acidosis, and stroke-like episodes. Other features include endocrinopathy, heart disease, diabetes, hearing loss, and neurological and psychiatric manifestations.",ENSG00000198888
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,Orphanet_90641,0.664580055561331,Mitochondrial non-syndromic sensorineural deafness: NA,ENSG00000198888
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,MONDO_0005148,0.654674414598975,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000198888
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,EFO_0005303,0.639321818069161,"sudden infant death syndrome: Unexpected death in infancy which remains unexplained following autopsy, review of the medical history, and investigation of the death circumstances and death scene.",ENSG00000198888
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,MONDO_0100133,0.618532951243147,"mitochondrial complex I deficiency: A type of mitochondrial disease charcterized by macrocephaly (large head) with progressive leukodystrophy, encephalopathy, hypertrophic cardiomyopathy, myopathy, liver disease, Leigh syndrome, Leber hereditary optic neuropathy, and some forms of Parkinson disease. The disease is caused by mutations in any of many genes and the inheritance pattern depends on the responsible gene.",ENSG00000198888
MT-ND1,6,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,EFO_0000400,0.607387422698377,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000198888
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",Orphanet_550,0.777056572368885,"MELAS: MELAS (Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke) syndrome is a rare progressive multisystemic disorder characterized by encephalomyopathy, lactic acidosis, and stroke-like episodes. Other features include endocrinopathy, heart disease, diabetes, hearing loss, and neurological and psychiatric manifestations.",ENSG00000198786
COX7B,5,BAT,BLOOD,SKM-GN,SKM-VL,SPLEEN,"",Orphanet_2556,0.770826529418818,"Microphthalmia with linear skin defects syndrome: A genetic condition that affects the eyes and skin. It is mainly found in females and is characterized by small or poorly developed eyes (microphthalmia) and characteristic linear skin markings on the head and neck. The signs and symptoms of this condition may include abnormalities of the brain, heart, and genitourinary system. Other symptoms may include short stature, developmental delay, and finger and toenails that do not grow normally (nail dystrophy). MLS syndrome is typically caused by either a deletion of certain genetic material on the p (short) arm of the X chromosome or by a mutation in the HCCS gene. In some cases, it may be caused by mutations in the COX7B and NDUFB11 genes, (also located on the X chromosome). According to the mutated gene, the disease may be classified in three subtypes. This condition is inherited in an X-linked manner and is thought to result in serious early developmental concerns in males, leading to almost no males with this condition surviving to delivery.Although there is no specific treatment or cure for MLS syndrome, there may be ways to manage the symptoms. A team of doctors is often needed to figure out the treatment options based on each person's symptoms.",ENSG00000131174
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",Orphanet_506,0.756763155537597,Leigh syndrome: A progressive neurological disease defined by specific neuropathological features associating brainstem and basal ganglia lesions.,ENSG00000198786
MT-ATP6,5,BAT,KIDNEY,LIVER,SKM-GN,SKM-VL,"",Orphanet_506,0.75041880674563,Leigh syndrome: A progressive neurological disease defined by specific neuropathological features associating brainstem and basal ganglia lesions.,ENSG00000198899
COQ9,5,BAT,COLON,HEART,SKM-GN,SKM-VL,"",Orphanet_319678,0.75005275589903,"Encephalopathy - hypertrophic cardiomyopathy - renal tubular disease: Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome is a rare mitochondrial disease due to a defect in coenzyme Q10 biosynthesis that manifests with a broad spectrum of signs and symptoms which may include: neonatal lactic acidosis, global developmental delay, tonus disorder, seizures, reduced spontaneous movements, ventricular hypertrophy, bradycardia, renal tubular dysfunction with massive lactic acid excretion in urine, severe biochemical defect of respiratory chain complexes II/III when assayed together and deficiency of coenzyme Q10 in skeletal muscle. Cerebral and cerebellar atrophy can be seen on magnetic resonance imaging and multiple choroid plexus cysts and symmetrical hyperechoic signal alterations in basal ganglia have been observed on ultrasound.",ENSG00000088682
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",Orphanet_104,0.749255362490886,Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198786
MT-ND5,5,BAT,HEART,LIVER,SKM-GN,SKM-VL,"",Orphanet_551,0.691242654598825,MERRF: A condition that can be caused by mutation(s) in more than one mitochondrial gene. It is characterized by myoclonic epilepsy and ragged-red fibers present on muscle biopsy.,ENSG00000198786
COQ9,5,BAT,COLON,HEART,SKM-GN,SKM-VL,"",Orphanet_35656,0.68473638282173,"Coenzyme Q10 deficiency: A genetically heterogeneous condition, typically inherited in an autosomal recessive fashion, characterized by coenzyme Q10 deficiency.",ENSG00000088682
