Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,cluster,gwas,logPVal_enrichment
Cluster_BLOOD-sex_homogeneous_changing,0.0430085827269496,0.0933010578505938,0.0179180099122402,2.16935904265756,0.416614749339615,0.0053993634317778,BLOOD-sex_homogeneous_changing,ADIPOGen_Adiponectin,-2.26765743913303
Cluster_HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00616544362771525,0.0042361121470845,3.25335839340952,2.23529592374985,0.311515632412794,HIPPOC-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.50652015478244
Cluster_CORTEX-sex_homogeneous_changing,0.00148528163734603,0.00105572088814305,0.00277086768245288,0.710788352591138,1.86555035272906,0.876766385833726,CORTEX-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.0571161088674233
Cluster_SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0262561142819255,0.0113178532635394,1.0960488508955,0.472458336024447,0.839213422795385,SKM-GN-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.0761275784377736
Cluster_SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0709048583311248,0.0168309148766576,1.87631291648788,0.445386447736801,0.0462618691307798,SKM-VL-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.33477682429379
Cluster_HEART-sex_homogeneous_changing,0.0355732836517194,0.119122551126608,0.0426262177896463,3.34865210344028,1.19826491720525,0.0499048125700319,HEART-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.30185757117366
Cluster_KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.00379062848487671,0.00818583076148524,0.380740014293066,0.822204901789493,0.459001866012562,KIDNEY-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.338185548891254
Cluster_ADRNL-sex_homogeneous_changing,0.035065496491538,0.0650974214761469,0.017940836457685,1.85645229611553,0.5116378848939,0.0943678253043171,ADRNL-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.02517605310254
Cluster_COLON-sex_homogeneous_changing,0.0318228384782221,0.0267662395003823,0.0152547665051224,0.841101572969353,0.479365362570092,0.740626736495087,COLON-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.130400614049077
Cluster_SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0739142508525239,0.0197043237074518,2.55854437062115,0.682065852215509,0.0270153010494473,SPLEEN-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.56839018846588
Cluster_BAT-sex_homogeneous_changing,0.0412790532847723,0.0753686659190494,0.0169388842247826,1.82583319920403,0.410350598593579,0.0471475814661723,BAT-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.3265405803993
