HUMAN|HGNC=7877|UniProtKB=A5YKK6	RAT|RGD=1308009|UniProtKB=G3V7M0	LDO	Euarchontoglires	PTHR13162
HUMAN|HGNC=23136|UniProtKB=Q9BWG6	RAT|RGD=1308968|UniProtKB=D3ZSG1	LDO	Euarchontoglires	PTHR32297
HUMAN|HGNC=18935|UniProtKB=Q8IUC2	RAT|RGD=2323315|UniProtKB=D4A006	LDO	Euarchontoglires	PTHR36131
HUMAN|HGNC=31369|UniProtKB=Q8N4H5	RAT|RGD=1596808|UniProtKB=A0A1B0GWY3	LDO	Euarchontoglires	PTHR28436
HUMAN|HGNC=30672|UniProtKB=Q8N3V7	RAT|RGD=620668|UniProtKB=Q9Z327	LDO	Euarchontoglires	PTHR24217
HUMAN|HGNC=23532|UniProtKB=Q9H987	RAT|RGD=1565434|UniProtKB=D3ZZ68	LDO	Euarchontoglires	PTHR24217
HUMAN|HGNC=17732|UniProtKB=Q9UMS6	RAT|RGD=1564779|UniProtKB=D4A702	LDO	Euarchontoglires	PTHR24217
HUMAN|HGNC=29816|UniProtKB=Q9UH90	RAT|RGD=1309781|UniProtKB=F1LXQ1	LDO	Euarchontoglires	PTHR15933
HUMAN|HGNC=15600|UniProtKB=Q8TB52	RAT|RGD=1359367|UniProtKB=Q5XI67	LDO	Euarchontoglires	PTHR15933
HUMAN|HGNC=29416|UniProtKB=Q5T7W0	RAT|RGD=1310743|UniProtKB=F1LV71	LDO	Euarchontoglires	PTHR24383
HUMAN|HGNC=26646|UniProtKB=Q8NAF0	RAT|RGD=1308475|UniProtKB=B1WBW3	LDO	Euarchontoglires	PTHR24383
HUMAN|HGNC=25917|UniProtKB=Q96SL8	RAT|RGD=1306359|UniProtKB=D3ZP93	LDO	Euarchontoglires	PTHR24383
HUMAN|HGNC=25001|UniProtKB=Q8NCP5	RAT|RGD=1308984|UniProtKB=Q3SWU4	LDO	Euarchontoglires	PTHR24383
HUMAN|HGNC=20588|UniProtKB=Q9UHG3	RAT|RGD=628652|UniProtKB=Q99ML5	LDO	Euarchontoglires	PTHR15944
HUMAN|HGNC=28477|UniProtKB=Q8NBM8	RAT|RGD=1563290|UniProtKB=B5DEI0	LDO	Euarchontoglires	PTHR15944
HUMAN|HGNC=29118|UniProtKB=O94886	RAT|RGD=1306829|UniProtKB=A0A0G2JVY4	LDO	Euarchontoglires	PTHR13018
HUMAN|HGNC=23787|UniProtKB=Q9P1W3	RAT|RGD=1310207|UniProtKB=D3ZNF5	LDO	Euarchontoglires	PTHR13018
HUMAN|HGNC=17735|UniProtKB=Q5T3F8	RAT|RGD=1305862|UniProtKB=D4A105	LDO	Euarchontoglires	PTHR13018
HUMAN|HGNC=26306|UniProtKB=Q658Y4	RAT|RGD=1586304|UniProtKB=B2RYP3	LDO	Euarchontoglires	PTHR28441
HUMAN|HGNC=15669|UniProtKB=Q8N103	RAT|RGD=1308618|UniProtKB=D3ZXG5	LDO	Euarchontoglires	PTHR23179
HUMAN|HGNC=18357|UniProtKB=Q9P2F6	RAT|RGD=1303160|UniProtKB=Q6REY9	LDO	Euarchontoglires	PTHR23179
HUMAN|HGNC=28589|UniProtKB=Q8TB03	RAT|RGD=1565685|UniProtKB=B1WBZ6	LDO	Euarchontoglires	PTHR35083
HUMAN|HGNC=25472|UniProtKB=Q8N4H0	RAT|RGD=1310039|UniProtKB=Q6AYJ3	LDO	Euarchontoglires	PTHR16435
HUMAN|HGNC=18309|UniProtKB=Q9NWH7	RAT|RGD=628657|UniProtKB=Q99MU5	LDO	Euarchontoglires	PTHR16435
HUMAN|HGNC=11109|UniProtKB=Q969G3	RAT|Ensembl=ENSRNOG00000018377|UniProtKB=A0A0G2KAP8	O	Euarchontoglires	PTHR46232
HUMAN|HGNC=11109|UniProtKB=Q969G3	RAT|RGD=1304726|UniProtKB=Q56A18	LDO	Euarchontoglires	PTHR46232
HUMAN|HGNC=9186|UniProtKB=O75417	RAT|RGD=1309795|UniProtKB=D4A628	LDO	Euarchontoglires	PTHR10133
HUMAN|HGNC=18870|UniProtKB=Q7Z5Q5	RAT|RGD=7675413|UniProtKB=F1LWX6	LDO	Euarchontoglires	PTHR10133
HUMAN|HGNC=24036|UniProtKB=O95996	RAT|RGD=1308256|UniProtKB=A0A0G2JZW4	LDO	Euarchontoglires	PTHR12607
HUMAN|HGNC=583|UniProtKB=P25054	RAT|RGD=2123|UniProtKB=P70478	LDO	Euarchontoglires	PTHR12607
HUMAN|HGNC=18860|UniProtKB=Q9NR71	RAT|RGD=69410|UniProtKB=Q91XT9	LDO	Euarchontoglires	PTHR12670
HUMAN|HGNC=10060|UniProtKB=Q9BXT8	RAT|RGD=1310486|UniProtKB=D3ZLP2	LDO	Euarchontoglires	PTHR16442
HUMAN|HGNC=29243|UniProtKB=Q9P2N5	RAT|RGD=1311966|UniProtKB=F1M1R4	LDO	Euarchontoglires	PTHR14398
HUMAN|HGNC=20327|UniProtKB=Q5T8P6	RAT|RGD=1308297|UniProtKB=D3ZRG7	LDO	Euarchontoglires	PTHR14398
HUMAN|HGNC=10895|UniProtKB=O75351	RAT|RGD=1305969|UniProtKB=Q4KLL7	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=13488|UniProtKB=Q9UN37	RAT|RGD=628810|UniProtKB=Q793F9	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=25387|UniProtKB=Q8IYT4	RAT|RGD=1564708|UniProtKB=F1M5A4	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=6216|UniProtKB=O75449	RAT|RGD=1303062|UniProtKB=Q6E0V2	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=28361|UniProtKB=Q9BW62	RAT|RGD=1359252|UniProtKB=Q5XIK7	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=11233|UniProtKB=Q9UBP0	RAT|RGD=1308494|UniProtKB=B2RYN7	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=13285|UniProtKB=Q5HY92	RAT|RGD=1308174|UniProtKB=D3ZYS4	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=22831|UniProtKB=A6NCM1	RAT|RGD=1307112|UniProtKB=Q6GX84	O	Euarchontoglires	PTHR23074
HUMAN|HGNC=26195|UniProtKB=Q86XH1	RAT|RGD=1307112|UniProtKB=Q6GX84	O	Euarchontoglires	PTHR23074
HUMAN|HGNC=13286|UniProtKB=Q6PIW4	RAT|RGD=1307112|UniProtKB=Q6GX84	LDO	Euarchontoglires	PTHR23074
HUMAN|HGNC=29321|UniProtKB=Q9HCH0	RAT|RGD=1561571|UniProtKB=D3Z9A7	LDO	Euarchontoglires	PTHR21740
HUMAN|HGNC=29847|UniProtKB=O14513	RAT|RGD=1564507|UniProtKB=F1LU96	LDO	Euarchontoglires	PTHR21740
HUMAN|HGNC=9330|UniProtKB=O60828	RAT|RGD=1549750|UniProtKB=Q6PCT5	LDO	Euarchontoglires	PTHR21737
HUMAN|HGNC=29938|UniProtKB=Q8WUQ7	RAT|RGD=1563634|UniProtKB=B2GUU0	LDO	Euarchontoglires	PTHR21737
HUMAN|HGNC=5392|UniProtKB=P46695	RAT|RGD=1303321|UniProtKB=Q6MG18	LDO	Euarchontoglires	PTHR16915
