Discovered in,Entrez,Symbol,Group,Model pvalue,AICc diff,Coefficients,R2(if applicable),subgroups
"acute,muscle",160760,PPTC7,time;avg_age,1.06E-10,-16.76267595,"b0:-0.55(0.012),time.L:-0.16(0.22),time.Q:-0.59(2.2e-10),avg_age:0.018(0.008)",80.27819201,"acute,muscle,time;avg_age,1"
"acute,muscle",6249,CLIP1,avg_age,0.000733285,-7.509935079,"b0:-0.21(0.053),avg_age:0.012(0.00073)",NA,"acute,muscle,avg_age,1"
"acute,muscle",9612,NCOR2,time,7.94E-09,-8.747850085,"b0:-0.087(4.9e-05),time.L:-0.17(6.8e-05),time.Q:-0.16(5e-07)",82.10288911,"acute,muscle,time,2"
"acute,muscle",53342,IL17D,time;training,7.76E-11,-15.92389234,"b0:-0.31(0.00022),time.L:-0.58(0.00013),time.Q:-0.38(2e-04),trainingresistance:-0.41(0.0025)",82.47137304,"acute,muscle,time;training,1"
"acute,muscle",6445,SGCG,training,0.000212949,-5.026730096,"b0:-0.067(0.023),trainingresistance:-0.18(0.00021)",66.48501477,"acute,muscle,training,3"
"acute,muscle",79866,BORA,time,3.55E-05,-5.249278099,"b0:0.055(0.064),time.L:0.23(5.7e-05),time.Q:0.098(0.029)",64.43002814,"acute,muscle,time,1"
"acute,muscle",688,KLF5,training,6.21E-07,-12.06666849,"b0:0.072(0.061),trainingresistance:0.45(6.2e-07)",87.27667043,"acute,muscle,training,2"
"acute,muscle",9375,TM9SF2,time,2.90E-05,-5.996822632,"b0:0.067(0.0056),time.L:0.15(0.0017),time.Q:0.12(0.0012)",72.83467713,"acute,muscle,time,1"
"acute,muscle",2321,FLT1,avg_age,9.11E-11,-8.735574052,"b0:-0.38(1e-09),avg_age:0.014(9.1e-11)",99.99081906,"acute,muscle,avg_age,1"
"acute,muscle",10443,N4BP2L2,avg_age,4.29E-05,-7.380701129,"b0:-0.45(3.9e-08),avg_age:0.012(4.3e-05)",NA,"acute,muscle,avg_age,1"
"acute,muscle",2308,FOXO1,time,3.95E-25,-13.46370091,"b0:0.056(0.69),time.L:-0.82(6.6e-19),time.Q:-0.57(5.8e-26)",NA,"acute,muscle,time,3"
"acute,muscle",253512,SLC25A30,time;training,4.34E-09,-12.4083276,"b0:0.16(0.018),time.L:-0.033(0.76),time.Q:-0.45(2.1e-08),trainingresistance:-0.3(0.0042)",75.22374667,"acute,muscle,time;training,1"
"acute,muscle",23034,SAMD4A,time,4.77E-05,-8.007132111,"b0:-0.092(0.072),time.L:-0.32(0.0015),time.Q:-0.22(0.0034)",56.11963792,"acute,muscle,time,2"
"acute,muscle",641371,ACOT1,time,8.64E-11,-7.495987836,"b0:-0.14(1.4e-09),time.L:-0.33(2.1e-11),time.Q:-0.17(4.3e-08)",98.66036589,"acute,muscle,time,2"
"acute,muscle",122961,ISCA2,training,8.17E-06,-5.378229944,"b0:0.01(0.83),trainingresistance:-0.2(8.2e-06)",NA,"acute,muscle,training,3"
"acute,muscle",85457,CIPC,time;training,9.05E-10,-7.138653113,"b0:-0.036(0.35),time.L:-0.23(0.00027),time.Q:-0.19(9.8e-06),trainingresistance:-0.18(0.0023)",90.14989327,"acute,muscle,time;training,1"
"acute,muscle",23768,FLRT2,training;avg_age,7.91E-05,-5.407090395,"b0:-0.31(0.041),trainingresistance:-0.2(0.014),avg_age:0.012(0.011)",60.40842868,"acute,muscle,training;avg_age,1"
"acute,muscle",55148,UBR7,training,0.000763245,-8.587604501,"b0:-0.051(0.46),trainingresistance:0.33(0.00076)",NA,"acute,muscle,training,2"
"acute,muscle",57594,HOMEZ,training,3.00E-05,-7.361695257,"b0:0.094(0.00074),trainingresistance:-0.2(3e-05)",73.72953435,"acute,muscle,training,4"
"acute,muscle",51016,EMC9,training,2.90E-05,-6.316719171,"b0:-0.019(0.63),trainingresistance:-0.22(2.9e-05)",85.33723669,"acute,muscle,training,3"
"acute,muscle",29082,CHMP4A,time,7.34E-08,-9.555185648,"b0:0.083(6e-04),time.L:0.19(0.00012),time.Q:0.14(5e-05)",93.54536661,"acute,muscle,time,1"
"acute,muscle",26277,TINF2,time,2.18E-10,-6.505676271,"b0:0.081(0.15),time.L:0.38(1.6e-05),time.Q:0.15(0.012)",NA,"acute,muscle,time,1"
"acute,muscle",11177,BAZ1A,base_model,0.000798823,-7.933712485,b0:0.13(8e-04),NA,"acute,muscle,base_model,2"
"acute,muscle",22863,ATG14,training,0.000571645,-5.446139926,"b0:-0.074(0.11),trainingresistance:0.26(0.00057)",53.25013389,"acute,muscle,training,2"
"acute,muscle",4329,ALDH6A1,training,3.79E-05,-5.357556196,"b0:0.019(0.58),trainingresistance:-0.24(3.8e-05)",82.20287109,"acute,muscle,training,3"
"acute,muscle",51676,ASB2,training,8.65E-06,-7.205855387,"b0:0.16(0.32),trainingresistance:-0.48(8.7e-06)",NA,"acute,muscle,training,4"
"acute,muscle",122416,ANKRD9,time,0.000163049,-5.854927021,"b0:-0.038(0.49),time.L:-0.33(0.0026),time.Q:-0.16(0.036)",55.10950416,"acute,muscle,time,2"
"acute,muscle",2595,GANC,training,2.22E-06,-8.903107824,"b0:-0.068(0.27),trainingresistance:0.21(2.2e-06)",NA,"acute,muscle,training,2"
"acute,muscle",4088,SMAD3,time,6.75E-07,-12.16128922,"b0:0.032(0.51),time.L:-0.29(0.0022),time.Q:-0.28(1e-04)",62.97870359,"acute,muscle,time,3"
"acute,muscle",145853,C15orf61,time,3.91E-08,-9.882253638,"b0:-0.24(6.3e-09),time.L:-0.42(8.3e-07),time.Q:-0.28(3e-06)",87.42779206,"acute,muscle,time,2"
