Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,cluster,gwas
Cluster_BLOOD-sex_homogeneous_changingL2_0,0.0430085827269496,0.0929077393076845,0.0178074114160017,2.16021392514912,0.414043204563525,0.00536310568259808,BLOOD-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_HIPPOC-sex_homogeneous_changingL2_0,0.00189510127141383,0.00596994654017122,0.00439105920021793,3.15019921638139,2.3170578092336,0.35204844074465,HIPPOC-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_CORTEX-sex_homogeneous_changingL2_0,0.00148528163734603,0.000953171902685994,0.00286459706498449,0.641744891150185,1.92865581379104,0.852590040251666,CORTEX-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_SKM-GN-sex_homogeneous_changingL2_0,0.0239552409187542,0.026613571688168,0.0112438237164951,1.1109707382376,0.469368008221218,0.813529379923698,SKM-GN-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_SKM-VL-sex_homogeneous_changingL2_0,0.0377894634248139,0.0770126585540002,0.0172911693836521,2.03793998576415,0.457565887857993,0.0210741001719421,SKM-VL-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_HEART-sex_homogeneous_changingL2_0,0.0355732836517194,0.120526419862689,0.0424994535175623,3.38811623471997,1.19470144880786,0.044737676142923,HEART-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_KIDNEY-sex_homogeneous_changingL2_0,0.00995594984129764,0.00359272284891334,0.00812009079206196,0.360861887231553,0.815601818158979,0.440702459176924,KIDNEY-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_ADRNL-sex_homogeneous_changingL2_0,0.035065496491538,0.0648894614722842,0.0179169231030496,1.85052167984969,0.510955922365832,0.0974143058182656,ADRNL-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_COLON-sex_homogeneous_changingL2_0,0.0318228384782221,0.0268877268767042,0.0153378900011044,0.844919188937366,0.48197743301877,0.747965025601132,COLON-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_SPLEEN-sex_homogeneous_changingL2_0,0.0288891807784359,0.0738994682305749,0.0196906080053143,2.55803266964692,0.681591082707759,0.02684589097355,SPLEEN-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_BAT-sex_homogeneous_changingL2_0,0.0412790532847723,0.0748106198332434,0.0167654610100374,1.81231433088221,0.406149358474315,0.0485235472335049,BAT-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_WAT-SC-sex_homogeneous_changingL2_0,0.0103993199980071,0.0168838735471725,0.0136080455373162,1.62355553540117,1.30855147643539,0.634313356517862,WAT-SC-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_LUNG-sex_homogeneous_changingL2_0,0.0200962598045112,0.0356451880193023,0.0132695240617103,1.77372249194852,0.660298194330248,0.252166685303257,LUNG-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_SMLINT-sex_homogeneous_changingL2_0,0.00483681109663406,0.00601307756119633,0.00544213871509519,1.24319049081343,1.1251501467325,0.829469997438294,SMLINT-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_LIVER-sex_homogeneous_changingL2_0,0.00698538656660559,0.00179249219988023,0.00460869822645071,0.25660601353824,0.659762803748485,0.260920003046563,LIVER-sex_homogeneous_changing,imputed_ADIPOGen_Adiponectin
Cluster_BLOOD-sex_homogeneous_changingL2_0,0.0430085827269496,0.129983474963003,0.0172977937206888,3.02226827115496,0.402193995335956,2.10890908672919e-06,BLOOD-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
Cluster_HIPPOC-sex_homogeneous_changingL2_0,0.00189510127141383,0.00807137023366387,0.00362436066609286,4.25907066572873,1.9124891744645,0.0853346182511287,HIPPOC-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
Cluster_CORTEX-sex_homogeneous_changingL2_0,0.00148528163734603,0.0013963255339268,0.000875452176511927,0.940108258809303,0.589418299196257,0.919215298518823,CORTEX-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
Cluster_SKM-GN-sex_homogeneous_changingL2_0,0.0239552409187542,0.0392897346643933,0.0076258114965649,1.64013105932213,0.318335829826481,0.0402835381796835,SKM-GN-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
Cluster_SKM-VL-sex_homogeneous_changingL2_0,0.0377894634248139,0.0717052352719988,0.0116266978859904,1.89749281343102,0.307670361848956,0.00289979167730521,SKM-VL-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
Cluster_HEART-sex_homogeneous_changingL2_0,0.0355732836517194,0.0679726466293319,0.0100899373103803,1.91077796738751,0.283638064148531,0.00287825590450231,HEART-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
Cluster_KIDNEY-sex_homogeneous_changingL2_0,0.00995594984129764,0.0124218821924131,0.00354937564403552,1.24768428833245,0.356507987747445,0.482349053830214,KIDNEY-sex_homogeneous_changing,imputed_Astle_et_al_2016_Eosinophil_counts
