Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score,cluster,gwas,logPVal_enrichment
BLOOD-sex_homogeneous_changing,0.0430085827269496,0.0929077393076844,0.0191778629342316,2.16021392514912,0.445907809982647,0.0102824839117848,1.13123340036283e-08,1.50262361706199e-08,0.752838826382001,BLOOD-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.98790196132558
HIPPOC-sex_homogeneous_changing,0.00189510127141383,0.00596994654017228,0.00442545190750914,3.15019921638195,2.33520602527355,0.352497242241181,5.06441015123121e-08,7.46982054488294e-08,0.67798284052493,HIPPOC-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.452844276358036
CORTEX-sex_homogeneous_changing,0.00148528163734603,0.000953171902684772,0.00293891132368745,0.641744891149362,1.97868959649891,0.855989065071374,-2.20718185896564e-08,6.31938119790495e-08,-0.349271833719634,CORTEX-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.067531783231136
SKM-GN-sex_homogeneous_changing,0.0239552409187542,0.0266135716881628,0.0115281084860904,1.11097073823739,0.481235339072093,0.817359435684473,-2.19239582581378e-08,1.67654031901598e-08,-1.30769048674032,SKM-GN-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.0875869194694675
SKM-VL-sex_homogeneous_changing,0.0377894634248139,0.0770126585540067,0.0169508172706468,2.03793998576433,0.448559353174522,0.0175579182983247,1.29482375818363e-08,1.56052659761617e-08,0.829735142074205,SKM-VL-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.75552697619431
HEART-sex_homogeneous_changing,0.0355732836517194,0.120526419862687,0.0367077216223049,3.38811623471991,1.031890167399,0.0195451239299659,5.98864766199465e-08,3.44850242043565e-08,1.73659372442549,HEART-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.70896157148757
KIDNEY-sex_homogeneous_changing,0.00995594984129764,0.00359272284891153,0.0071223828761272,0.36086188723137,0.715389590110558,0.374885745711158,-4.2176528674371e-08,2.41898302744528e-08,-1.74356447299733,KIDNEY-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.426101072453023
ADRNL-sex_homogeneous_changing,0.035065496491538,0.0648894614722777,0.0168331598233673,1.8505216798495,0.480049094055447,0.0743233931423291,7.61479584220363e-09,1.59449708743101e-08,0.477567246891137,ADRNL-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.1288744713859
COLON-sex_homogeneous_changing,0.0318228384782221,0.0268877268767032,0.015032750944811,0.844919188937333,0.472388751716746,0.742799873282815,-3.33747697597645e-08,1.7999687870971e-08,-1.85418602805828,COLON-sex_homogeneous_changing,ADIPOGen_Adiponectin,-0.129128179020274
SPLEEN-sex_homogeneous_changing,0.0288891807784359,0.0738994682305796,0.0187593588623391,2.55803266964709,0.649355861151379,0.0176323251940583,2.62083580542535e-08,2.08692094607891e-08,1.25583856463256,SPLEEN-sex_homogeneous_changing,ADIPOGen_Adiponectin,-1.7536904130346
